"故事线顺序","topic_id","栏目","故事线_day","故事线节点","故事线推荐内容形式","故事线原文案核心","故事线原互动钩子","故事线栏目雏形","故事线阶段","用户需求","选题方向","标题模板","内容结构","痛点/情绪","场景","画面方向","互动钩子","参考样本_id","参考样本依据","蓝汐适配理由","合规风险","重复度关键词","优先级","状态"
"4","LX-T-007","一句软话","D4","蓝汐的第一句口头禅","单图/短图组","我在呢。","今天你希望有人对你说哪句话？","蓝汐短句","靠近蓝汐的小世界","想要一句像朋友在旁边的回应","我在呢，声音可以很小","关系陪伴型标题","日常情绪+陪伴短句","孤独陪伴","睡前/独处","蓝汐微微举手，旁边只有一小行字，背景浅蓝灰","今天希望蓝汐对你说哪句话？","239;427","关系陪伴型样本适合建立低压连接","我在呢是蓝汐口头禅，可强化记忆","避免过度情感依赖和强承诺","我在呢;声音很小;陪伴","P0","待检查"
"5","LX-T-027","场景故事","D5","蓝汐的小世界入口","场景图组","她住在日常和画纸之间。","你希望她的小世界里有什么？","小世界设定","靠近蓝汐的小世界","想理解蓝汐生活在日常和画纸之间","她住在日常和画纸之间","短句氛围型标题","角色设定+小故事","自我治愈;成长迷茫","日常娱乐","白纸、书页、桌面和一束浅蓝光，蓝汐安静站在边缘","你希望她的小世界里有什么？","396;578","季节意象和小世界叙述能提升收藏感","这句话贴合角色档案里的世界观描述","不要把背景做成宏大奇幻设定","日常;画纸;小世界入口","P0","待检查"
"6","LX-T-002","蓝汐日记","D6","蓝汐的慢热性格","生活场景小图组","慢一点也没关系。","你今天有什么事想慢一点？","情绪陪伴","靠近蓝汐的小世界","想用低压力方式认识蓝汐的慢热性格","蓝汐今天慢慢路过了一下","短句氛围型标题","日常情绪+陪伴短句","低能量疲惫;孤独陪伴","日常娱乐","蓝汐抱着纸从画面一角慢慢经过，动作小，表情发呆","你今天有什么事想慢一点？","479;493","自我鼓励型和短句氛围型在低能量场景表现好","慢慢路过符合蓝汐不外放、不强互动的人设","不能暗示解决现实问题","慢慢路过;慢一点;发呆","P0","待检查"
"7","LX-T-004","蓝汐日记","D7","第一周总结","轻复盘图组","蓝汐被看见的第一周。","你从哪一天开始认识她？","周记","第一次被看见","想回顾角色初见并产生追更感","蓝汐被看见的第一周","时间节点型标题","日常情绪+陪伴短句","被看见需求;孤独陪伴","角色档案/多造型","前三到七天的小画面拼贴，蓝汐在中央整理小纸条","你是从哪一天开始认识她的？","476;475","时间节点型标题适合阶段总结和追更节点","周记能帮助用户形成账号记忆","不要虚构粉丝数据或夸大增长","第一周;被看见;周记","P1","待检查"
"8","LX-T-011","名字小画","D8","第一次名字互动","评论征集帖","把你的名字放在这里，我慢慢记。","留下一个名字/ID。","名字收集","建立互动与共创","想让自己的名字被角色记住","把你的名字放在这里，我慢慢记","提问型标题","粉丝征集+创作回馈","被看见需求;孤独陪伴","聊天互动","蓝汐抱着空白名牌，画面预留名字位置，不放真实隐私","留下名字或 ID，不要留隐私信息","70;72","粉丝征集和新 IP 头像互动样本可转为低门槛共创","名字小画直接服务蓝汐被记住的长期使命","必须提醒不收集手机号、地址等隐私","名字;ID;慢慢记;留位置","P0","待检查"
"9","LX-T-012","名字小画","D9","第一批名字小回应","to 签预告/样张","我给几个名字留了位置。","想要 to 签吗？留下名字和一个小情绪。","to 签","建立互动与共创","想看到第一批名字如何进入画面","给几个名字留了位置","叙述型标题","粉丝征集+创作回馈","被看见需求","聊天互动","几张空白签名纸或小卡，蓝汐在旁边整理，不大规模填字","想要 to 签的话，留下名字和一个小情绪","70;244","共创回馈能制造复访，但要控制承诺范围","蓝汐可以通过小纸条回应用户，符合行为逻辑","不能承诺每个人都会被画","名字;to签;小情绪;位置","P0","待检查"
"10","LX-T-016","头像领取","D10","头像玩法启动","头像样式展示","如果蓝汐当头像，会安静陪你一阵。","你想要哪种头像姿势？","头像","建立互动与共创","想要可直接收藏使用的头像资产","蓝汐头像 01：托脸发呆","素材领取型标题","头像素材+领取提示","素材需求;自我治愈","社交主页/头像","1:1 方图，蓝汐托脸，白底或浅蓝灰背景，头部眼睛清晰","评论编号领取，想要下次什么姿势？","36;37","头像素材+领取提示在高互动样本里收藏表现强","头像领取是蓝汐首轮重点测试栏目","不能使用未授权参考 IP 外观或品牌元素","头像01;托脸;发呆","P0","待检查"
"11","LX-T-018","头像领取","D11","壁纸玩法启动","手机壁纸预览","给手机留一点安静。","想要浅蓝、白色还是夜晚版？","壁纸","建立互动与共创","想要适合手机和社交主页的轻素材","给手机留一点安静","短句氛围型标题","头像素材+壁纸领取提示","素材需求;低能量疲惫","手机/桌面壁纸","竖版壁纸预览，蓝汐小小站在下方，顶部大留白","想要浅蓝、白色还是夜晚版？","49;36","壁纸分享样本说明素材需求明确","蓝汐的大留白和低饱和适合锁屏壁纸","不能使用会误导真实场景的滤镜素材","手机壁纸;安静;浅蓝;夜晚版","P0","待检查"
"12","LX-T-008","一句软话","D12","心情收集","情绪互动帖","今天的心情可以很小声。","用一个词说说今天的心情。","心情收集","建立互动与共创","想用一个词表达今天的心情","今天的心情可以很小声","短句氛围型标题","日常情绪+陪伴短句","情绪宣泄;孤独陪伴","睡前/独处","蓝汐拿着空白心情纸，周围有少量云和纸片","用一个词说说今天的心情","493;499","高互动样本中情绪标题和睡前场景表现稳定","轻声表达符合蓝汐克制、不鸡汤的文案边界","不能引导用户透露敏感隐私","心情;小声;一个词","P0","待检查"
"16","LX-T-001","蓝汐日记","D16","固定栏目 1：蓝汐日记","日记式单图/图组","今天也给自己留了一个位置。","你今天给自己留位置了吗？","蓝汐日记","形成栏目与连续追更","想看到蓝汐稳定出现和轻微日常推进","蓝汐今天也给自己留了一个位置","叙述型标题","日常情绪+陪伴短句","低能量疲惫;自我治愈","睡前/独处","蓝汐坐在白纸边缘，旁边放一张空白小纸条，画面留白充足","你今天给自己留位置了吗？","245;239","高互动样本中睡前独处+日常陪伴结构表现稳定","蓝汐的慢热、温柔和陪伴感可以自然落到日记场景","避免写成治愈承诺，只表达陪伴感","留位置;坐一会儿;白纸边缘","P0","待检查"
"17","LX-T-006","一句软话","D17","固定栏目 2：一句软话","短句壁纸","不用马上变好，先坐一会儿。","想要哪句话做壁纸？","一句软话","形成栏目与连续追更","想收藏一句不说教的低压陪伴短句","不用马上变好，先坐一会儿","短句氛围型标题","日常情绪+陪伴短句","低能量疲惫;自我治愈","睡前/独处","蓝汐坐在画面下方，大面积留白，短句后期排版","想把哪句话存下来？","241;245","高互动短句陪伴样本收藏倾向强","蓝汐适合短、轻、软的陪伴表达","不能承诺治愈或保证变好","不用马上变好;坐一会儿;软话","P0","待检查"
"18","LX-T-013","名字小画","D18","固定栏目 3：名字小画","名字互动样张","今天记住三个名字。","留下名字，我随机画进小纸条。","名字小画","形成栏目与连续追更","想参与固定栏目并期待被翻牌","今天随机记住三个名字","时间节点型标题","粉丝征集+创作回馈","被看见需求;素材需求","聊天互动","三张小纸条排开，蓝汐只画轮廓和轻道具，不泄露真实信息","留下名字，我随机画进小纸条","70;36","粉丝共创与头像素材结构可组合为栏目化选题","固定三个名额比无限承诺更可控","避免诱导真实姓名和敏感身份信息","三个名字;随机;小纸条","P0","待检查"
"19","LX-T-017","头像领取","D19","固定栏目 4：头像领取","头像合集","挑一个安静的蓝汐陪你。","评论编号领取/投票。","头像领取","形成栏目与连续追更","想从多个头像里选择适合自己的状态","挑一个安静的蓝汐陪你","关系陪伴型标题","头像合集+领取提示","素材需求;孤独陪伴","社交主页/头像","3-6 个头像姿势：看书、抱纸、雨天、发呆，统一低饱和","评论编号投票，想要单人头像还是留白头像？","36;49","头像合集能同时测试姿势偏好和收藏价值","安静陪伴符合蓝汐头像使用场景","不要暗示头像有改变运势或治愈功效","挑一个;安静头像;编号","P0","待检查"
"20","LX-T-021","蓝汐小表情","D20","固定栏目 5：蓝汐小表情","表情包方向","蓝汐不太会说话，但会做表情。","你最需要哪个表情？","表情包","形成栏目与连续追更","想用蓝汐表达轻微日常反应","蓝汐说：我在呢","素材领取型标题","表情包素材+领取提示","孤独陪伴;素材需求","聊天互动","九宫格表情包草案：我在呢、收到、点头、抱纸、发呆","你最需要哪个表情？","240;243","表情包素材样本具备高收藏和转发潜力","小表情能延伸蓝汐评论区互动能力","避免攻击性、阴阳怪气和高能量表情","我在呢;收到;点头;发呆","P0","待检查"
"20","LX-T-022","蓝汐小表情","D20","固定栏目 5：蓝汐小表情","表情包方向","蓝汐不太会说话，但会做表情。","你最需要哪个表情？","表情包","形成栏目与连续追更","想要不打扰但能回应朋友的表情","蓝汐点点头","短句氛围型标题","表情包素材+领取提示","素材需求;关系陪伴","聊天互动","蓝汐小幅点头，白底，动作克制，可做评论区回复图","评论一个想让蓝汐做的反应","240;427","关系陪伴和表情包结构可以组合使用","点头符合蓝汐安静、克制的动作边界","不能做嘲讽或冒犯性回应","点点头;回复图;反应","P0","待检查"
"21","LX-T-019","头像领取","D21","第三周栏目确认","投票帖","以后想常常见到哪一种蓝汐？","投票选 2 个最想看的栏目。","栏目投票","形成栏目与连续追更","想参与决定下一批头像方向","以后想常常见到哪一种蓝汐？","提问型标题","栏目投票+头像方向","素材需求;被看见需求","社交主页/头像","卡片展示 5 个头像方向，不使用复杂文案","投票选 2 个最想看的头像姿势","72;37","提问型标题适合新 IP 和投票机制","能为后续头像生产收集用户偏好","不能承诺投票结果一定全部制作","哪一种蓝汐;头像姿势;投票","P1","待检查"
"22","LX-T-014","名字小画","D22","用户反馈回应","评论回复图组","我看到了。","把你想被回复的话留在这里。","评论回应","形成栏目与连续追更","想让评论被角色温柔回应","我看到你的小留言了","关系陪伴型标题","评论回应+角色小画","被看见需求;孤独陪伴","聊天互动","蓝汐看着留言纸，纸上只用抽象线条代替具体留言","把你想被回应的话留在这里","427;239","关系陪伴型适合评论区情绪回收","评论回应能把用户素材转为下轮选题来源","不能展示未授权评论原文或敏感信息","小留言;我看到;回应","P1","待检查"
"22","LX-T-023","蓝汐小表情","D22","用户反馈回应","评论回复图组","我看到了。","把你想被回复的话留在这里。","评论回应","形成栏目与连续追更","想让蓝汐回应评论区的普通情绪","蓝汐收到，然后抱了一下纸","叙述型标题","评论回应+表情包素材","孤独陪伴;被看见需求","聊天互动","蓝汐抱纸，小动作表达收到，不出现拥抱真人或过度情绪","你想让蓝汐怎么回复你？","240;70","表情包和评论征集可形成循环生产","抱纸是蓝汐可复用动作，避免过度亲密承诺","避免引导用户发敏感经历","收到;抱纸;评论回复","P1","待检查"
"23","LX-T-003","蓝汐日记","D23","小世界扩展：场景","场景设定图组","蓝汐的小世界，不只有白底。","你想让她住在哪个场景？","场景故事","小世界扩展","想知道蓝汐生活在什么样的小世界里","蓝汐的小世界不只有白底","叙述型标题","角色设定+小故事","孤独陪伴;自我治愈","场景故事","白纸、窗边、浅水倒影和远处灰蓝城市剪影，蓝汐站在中景","你想让她住在哪个场景？","578;470","高互动样本中小世界和雨云意象可带来情绪共鸣","可承接蓝汐世界观，同时不扩成宏大设定","避免照搬其他 IP 的星星、小狗等特定符号","小世界;白底;窗边;浅水倒影","P0","待检查"
"23","LX-T-026","场景故事","D23","小世界扩展：场景","场景设定图组","蓝汐的小世界，不只有白底。","你想让她住在哪个场景？","场景故事","小世界扩展","想看到蓝汐从白底进入日常叙事场景","蓝汐走进画纸之间","叙述型标题","角色设定+小故事","自我治愈;孤独陪伴","场景故事","前景纸张、中景蓝汐、远景浅蓝灰空间，形成纵深","下一幕去哪里？","578;458","小世界和多造型设定样本适合扩展视觉资产","场景故事可以增强 IP 世界观但不沉重","避免复杂世界观堆砌和其他角色","画纸之间;小世界;下一幕","P0","待检查"
"23","LX-T-028","场景故事","D23","小世界扩展：场景","场景设定图组","蓝汐的小世界，不只有白底。","你想让她住在哪个场景？","场景故事","小世界扩展","想看更有氛围感的蓝汐叙事图","蓝汐在雨夜窗边","情绪共鸣型标题","季节意象+角色回应","孤独陪伴;自我治愈","睡前/独处","雨滴前景、窗边浅光、蓝汐小小坐着，低对比水彩质感","你想让窗外下什么样的雨？","470;499","雨云意象在高互动样本中情绪共鸣明显","雨夜窗边是蓝汐角色档案允许的常驻场景","避免写遗憾、抑郁等过重情绪","雨夜;窗边;浅光;雨滴","P0","待检查"
"24","LX-T-005","蓝汐日记","D24","小世界扩展：道具","道具设定图组","她会把小东西收好。","给蓝汐加一个不会喧宾夺主的小物件。","道具设定","小世界扩容与复盘","想参与蓝汐的小道具和生活细节设定","蓝汐把小东西收好了","叙述型标题","角色设定+小故事","自我治愈;素材需求","日常娱乐","小书、铅笔、纸条、台灯等 1-3 个轻道具，蓝汐轻轻整理","给蓝汐加一个不会喧宾夺主的小物件","458;396","多造型设定和季节意象可转为角色资产沉淀","道具设定能强化 IP 可复用视觉资产","避免复杂道具、品牌 Logo 和未授权元素","小东西;纸条;铅笔;台灯","P1","待检查"
"24","LX-T-024","蓝汐小表情","D24","小世界扩展：道具","道具设定图组","她会把小东西收好。","给蓝汐加一个不会喧宾夺主的小物件。","道具设定","小世界扩容与复盘","想给蓝汐增加稳定动作资产","蓝汐慢慢路过","短句氛围型标题","表情包素材+角色动作","低能量疲惫;素材需求","聊天互动","蓝汐从画面边缘小步路过，透明或白底版本可后续扩展","还想要哪个日常小动作？","409;240","短标题+角色状态和表情包结构都适合动作资产","慢慢路过强化蓝汐慢热、轻互动特征","不要做夸张跑跳攻击动作","慢慢路过;日常动作;小表情","P1","待检查"
"25","LX-T-029","场景故事","D25","第一次轻剧情","3-4 图小故事","有一个名字，被风吹到了她面前。","下一张纸上写什么？","小剧情","小世界扩容与复盘","想追一段轻剧情但不沉重的小故事","蓝汐捡到一张纸","叙述型标题","轻剧情+互动续写","被看见需求;孤独陪伴","场景故事","风吹来一张纸，蓝汐弯腰接住，纸上不写具体隐私","下一张纸上写什么？","244;578","角色小故事和小世界样本可转为连续剧情入口","捡纸能自然连接名字小画和评论互动","不能展示未经授权的真实留言","捡到一张纸;下一张;续写","P1","待检查"
"26","LX-T-015","名字小画","D26","第一轮头像/壁纸交付","福利交付帖","这些位置，先留给你们。","下一批想要什么主题？","粉丝共创","小世界扩容与复盘","想领取或保存首轮共创结果","这些位置，先留给你们","短句氛围型标题","粉丝福利交付+创作回馈","被看见需求;素材需求","社交主页/头像","展示 3-6 张已完成小卡样式，注意不出现隐私和未授权内容","下一批想要什么主题？","36;49;70","头像和共创样本都说明可保存资产能提升收藏","交付帖能把互动闭环做完整","必须确认投稿授权，不能假装已有用户授权","这些位置;下一批;共创小卡","P1","待检查"
"26","LX-T-025","蓝汐小表情","D26","第一轮头像/壁纸交付","福利交付帖","这些位置，先留给你们。","下一批想要什么主题？","粉丝共创","小世界扩容与复盘","想收藏一组可实际使用的表情包","蓝汐小表情第一组先放这里","素材领取型标题","表情包合集+领取提示","素材需求;自我治愈","聊天互动","首组 6-9 个表情展示，动作统一，建议先无文字版","想要有字版还是无字版？","240;243","表情包上线类样本高收藏，适合做首批资产交付","能从候选内容进入实际素材生产","文字版需避免夸大承诺和敏感词","第一组;有字版;无字版;表情包","P0","待检查"
"27","LX-T-009","一句软话","D27","蓝汐的边界说明","轻说明图组","她可以陪你，但不替你解决所有事情。","你希望她怎么陪你比较舒服？","角色边界","小世界扩容与复盘","想明确角色陪伴边界而不被说教","蓝汐可以陪你，但不替你解决所有事","叙述型标题","角色边界说明+陪伴短句","自我治愈;成长迷茫","睡前/独处","蓝汐拿着写有慢慢来的小纸，不出现大段文字","你希望她怎么陪你比较舒服？","468;479","愿望表达型和低能量样本适合边界类温柔说明","能补足 IP 合规边界，避免过度情感承诺","措辞要克制，不能像心理咨询或治疗建议","陪你;不替你解决;慢慢来","P0","待检查"
"29","LX-T-010","一句软话","D29","下月预告","预告图组","下个月，蓝汐会更稳定地出现。","你最想蹲哪个栏目？","内容日历","内容日历","想提前收藏下一阶段的稳定栏目短句","下个月，也给你留一盏小灯","时间节点型标题","节日祝福+角色回应","孤独陪伴;节日仪式感","节日/纪念日;睡前/独处","夜间台灯、白纸和蓝汐小小站在灯边，低饱和","下个月想蹲哪一句软话？","476;547","时间节点型适合预告和月度栏目延续","小灯意象温柔，可服务发布日历","不要写成保证陪伴或永久承诺","下个月;小灯;预告","P1","待检查"
"29","LX-T-020","头像领取","D29","下月预告","预告图组","下个月，蓝汐会更稳定地出现。","你最想蹲哪个栏目？","内容日历","内容日历","想知道下月头像栏目更新方向","下个月的蓝汐头像排队中","时间节点型标题","内容日历+头像预告","素材需求;节日仪式感","社交主页/头像","头像排期预告：雨天、看书、抱纸、晚安、名字卡","你最想先领取哪一组？","476;547","时间节点型有利于建立持续更新预期","头像排期能把栏目从单次福利变成连续资产","不要虚构已完成数量或下载量","下个月;头像排队;预告","P1","待检查"
"30","LX-T-030","场景故事","D30","30 天收束与下一阶段入口","总结图组/置顶候选","谢谢你看见蓝汐。她会继续慢慢长大。","给蓝汐留一句 30 天后的话。","置顶内容","30天收束与下一阶段入口","想看到首月收束并期待下一阶段","谢谢你看见蓝汐","时间节点型标题","总结图组+下一阶段入口","被看见需求;自我治愈","场景故事","蓝汐站在画纸中间，周围是小纸条、头像草稿和留白","给蓝汐留一句 30 天后的话","476;578","时间节点型和小世界总结适合做置顶候选","能把首月故事线、栏目和共创入口汇总","不能虚构运营成绩或用户反馈","谢谢你看见;30天;下一阶段","P0","待检查"
