field_name,meaning
id,本地数据编号，通常是采集时生成的序号
note_id,小红书笔记 ID
url,小红书笔记链接
title,笔记标题
content,笔记正文内容
author_id,作者账号 ID
author_name,作者昵称
author_avatar,作者头像图片路径
likes,点赞数
comments,评论数
collects,收藏数
shares,分享数
tags,笔记标签列表
images,笔记图片路径列表
scraped_at,数据采集时间
created_at,数据入库或记录创建时间
media_type,内容类型，比如图文、视频
push_time,笔记发布时间
videos,视频文件或视频链接列表
cover_type,封面类型，由人工后续补充
topic,主题，由人工后续补充
scene,场景，由人工后续补充
emotion,情绪，由人工后续补充
hook,互动钩子，由人工后续补充
reusable_structure,可复用结构，由人工后续补充
risk_level,风险等级，由人工后续补充
keep_status,保留状态，例如保留、降权、剔除，由人工后续补充
notes,备注，由人工后续补充
review_status,人工审核状态：已确认、待审核或需修改
